URL,Label
http://www.emergingfromconflict.org/,0
https://www.google.com ,1
https://www.facebook.com,0
http://www.paypal.com.base-web.nut.cc/webapps/34dcf/websrc,1
http://beyondcolorzpainting.com/chima/AOL/aol.htm,1
https://hentainarutogirls.com/EserviceMain/irs/ir/index.html,1
http://freetoonz.com/EserviceMain/irs/ir/index.html,1
http://htpp-security.esy.es/recovery-chekpoint-login.html,1
http://rawalconventschool.com/resume/bil.htm,1
http://stellar-book.smvi.co/oYles.html,1
http://timmammel.com/paypal/,1
http://162.223.14.250/~rems/photodb/calender/mmp/webapps/login.php?country.x=en&locale.x=pl_PL,1
https://res167.servconfig.com/~a1plusstonedesig/webscr/run-check-cookie-submit.25148f5dc4sz521uytdsq/,1
http://ko.24hour7.com/en/css/.../login/myaccount/signin/?country.x=&locale.x=en_,1
http://www.inlovepharmacy.com/vqmod/index.htm,1
http://www.wazifaesadat.in/data/dataLibrary/dropbox/dropbox/form.php,1
https://ia601500.us.archive.org/3/items/brown.mail/yy.htm,1
http://ia601500.us.archive.org/3/items/brown.mail/yy.htm,1
http://205.134.241.50/~tierra8/espanol/mmp/webapps/,1
http://www.wazifaesadat.in/data/Eservice/irs/ir/index.html,1
http://elcasal.cat/meteo/actual/eal/manage/bin/login.php,1
http://ouo.io/sKToq,1
http://recover-info.com/united/login.php,1
http://recover-info.com/reconfirm/support-account.html,1
http://furnituregalore.in/wp-content/themes/furnituregalore/css/strob/,1
http://aflam7you.com/check/update/Account/Confirmation/,1
http://portal.hmrn.ru/video/tes/start2.php,1
http://portal.hmrn.ru/video/tes/start.php,1
http://www.amtusa.vn/modules/mod_stats/tmpl/new/seguranca/,1
http://www.everythingwakeboard.com/Base/Memo/index.php,1
http://www.centurionallsuite.co.za/pot/History/Mxtoo/A001.htm,1
http://www.centurionallsuite.co.za/pot/History/Mxtoo/L001.htm,1
https://security-conversion-to-safe-update.blogspot.com/?m=0,1
http://dollsinyoface.com/wp-includes/re.htm,1
http://bit.ly/28PQrwO,1
http://ovslochteren.nl/asbtes/asb.co.nz/,1
http://id-update.system.apple.aspx.cmd.cgi.apple-id.apple.com.eu4.apid-4.com/tj7mkyiKkJsXpCmZkIAjUzlvVES3roZsOMpMyC15nWgm6L95bED3RXciGSYhRs0ho2qyJxzVpqSkIjZkzuoelJWUqovGFoUbkOei/,1
